condition,dataset,seed,cdr,miss,wasted,roi,rare_ade,intrec,miss_intrec_spearman
wm_naive,nuPlan20k,7,0.4805714922731203,0.5194285077268797,0.06813866035070223,0.031203125,18.842650280386284,0.47319009058549566,-0.7565614532798772
wm_naive,nuPlan20k,42,0.7691897300620436,0.23081026993795645,0.08097928436911489,0.053703125,14.89852944410471,0.8186749550814093,-0.6845239740758591
wm_naive,nuPlan20k,123,0.3914615520583566,0.6085384479416434,0.49931852034615415,0.07759375,21.113532322162396,0.3022428365779116,-0.5975837982722367
wm_object,nuPlan50k,7,0.893394752658858,0.10660524734114184,,0.0,4.808185342141049,0.9726835865387521,-0.3798938219520861
wm_object,nuPlan50k,42,0.9295324634514956,0.07046753654850439,,0.0,3.4991870736269264,0.9598453592419375,-0.5219383240159076
wm_object,nuPlan50k,123,0.5332452414589659,0.46675475854103404,,0.0,10.591603499997447,0.3805770848980668,-0.6560129069487739
wm_decoupled_no_vis,nuPlan50k,7,0.9428941959560614,0.057105804043938675,0.041708643965343545,0.2601621805971806,0.9166264220583886,0.9366083008869392,-0.35243673367405964
wm_decoupled_no_vis,nuPlan50k,42,0.9424182645561088,0.05758173544389111,0.06855326876513317,0.26014546897546903,1.3857592621720531,0.897763152737047,-0.41129886788806425
wm_decoupled_no_vis,nuPlan50k,123,0.9312685071171188,0.06873149288288107,0.02234890525678539,0.2595531052281052,1.3315212132578027,0.8580888898710877,-0.4472250269625568
